outcome,outcome_clean,temp1,melting_temp2,annealing_temp2,extension_temp2,cycles2,temp3,band_size,dna_amt,t1(sec),melting_t2(sec),annealing_t3(sec),extension_t4(sec),t5(sec),Tm_p1_p3orig,Tm_p2_p3orig,Tm_p1_p3,Tm_p2_p3,Tm_p1_BSU,Tm_p2_BSU,Tm_dif_IDT,HPin_Tm_Max,Heterodimer_tm,Homodimer_maxTm,GC_ClampMin,GC_ClampMax,MaxTm_IDT,MinTm_IDT,MaxGC,MinGC,MaxPlen,MinPlen,TotPrimer
0,0,94,94,60,72,44,72,369,0,30,30,30,30,600,55.25758002,59.69742,56.03074314,59.31007666,58.34179879,65.55081814,2.417681829,46.21059474,0,0,35,39,58.39474913,55.9770673,82.35294118,50,24,17,0.4
0,0,94,94,60,72,44,72,369,0,30,30,30,30,600,55.25758002,52.87936712,56.03074314,52.64102283,58.34179879,55.32760832,3.250637487,42.85456345,0,0,35,36,55.9770673,52.72642981,55,50,24,20,0.4
0,0,94,94,60,72,44,72,369,0,30,30,30,30,600,55.25758002,59.48449035,56.03074314,59.83263569,58.34179879,64.52290706,3.154313141,43.21537072,0,0,35,39,59.13138044,55.9770673,70,50,24,20,0.4
1,1,94,94,60,72,44,72,369,0,30,30,30,30,600,55.57740558,59.69742,55.66508473,59.31007666,60.05349259,65.55081814,2.887410265,49.49550521,0,12.0015098,39,39,58.39474913,55.50733886,82.35294118,57.14285714,21,17,0.4
1,1,94,94,60,72,44,72,369,0,30,30,30,30,600,55.57740558,52.87936712,55.66508473,52.64102283,60.05349259,55.32760832,2.78090905,49.49550521,0,12.0015098,36,39,55.50733886,52.72642981,57.14285714,55,21,20,0.4
1,1,94,94,60,72,44,72,369,0,30,30,30,30,600,55.57740558,59.48449035,55.66508473,59.83263569,60.05349259,64.52290706,3.624041577,49.49550521,0,12.0015098,39,39,59.13138044,55.50733886,70,57.14285714,21,20,0.4
1,1,94,94,60,72,44,72,369,0,30,30,30,30,600,55.25758002,59.69742,56.03074314,59.31007666,58.34179879,65.55081814,2.417681829,46.21059474,0,0,35,39,58.39474913,55.9770673,82.35294118,50,24,17,0.4
1,1,94,94,60,72,44,72,369,0,30,30,30,30,600,55.25758002,52.87936712,56.03074314,52.64102283,58.34179879,55.32760832,3.250637487,42.85456345,0,0,35,36,55.9770673,52.72642981,55,50,24,20,0.4
1,1,94,94,60,72,44,72,369,0,30,30,30,30,600,55.25758002,59.48449035,56.03074314,59.83263569,58.34179879,64.52290706,3.154313141,43.21537072,0,0,35,39,59.13138044,55.9770673,70,50,24,20,0.4
1,1,94,94,60,72,44,72,369,0,30,30,30,30,600,55.57740558,59.69742,55.66508473,59.31007666,60.05349259,65.55081814,2.887410265,49.49550521,0,12.0015098,39,39,58.39474913,55.50733886,82.35294118,57.14285714,21,17,0.4
0,0,94,94,60,72,44,72,369,0,30,30,30,30,600,55.57740558,52.87936712,55.66508473,52.64102283,60.05349259,55.32760832,2.78090905,49.49550521,0,12.0015098,36,39,55.50733886,52.72642981,57.14285714,55,21,20,0.4
0,0,94,94,60,72,44,72,369,0,30,30,30,30,600,55.57740558,59.48449035,55.66508473,59.83263569,60.05349259,64.52290706,3.624041577,49.49550521,0,12.0015098,39,39,59.13138044,55.50733886,70,57.14285714,21,20,0.4
0,0,94,94,55,72,30,72,369,0,30,30,30,30,600,55.25758002,59.69742,56.03074314,59.31007666,58.34179879,65.55081814,2.417681829,46.21059474,0,0,35,39,58.39474913,55.9770673,82.35294118,50,24,17,0.4
1,1,94,94,55,72,30,72,369,0,30,30,30,30,600,55.25758002,52.87936712,56.03074314,52.64102283,58.34179879,55.32760832,3.250637487,42.85456345,0,0,35,36,55.9770673,52.72642981,55,50,24,20,0.4
0,0,94,94,55,72,30,72,369,0,30,30,30,30,600,55.25758002,59.69742,56.03074314,59.31007666,58.34179879,65.55081814,2.417681829,46.21059474,0,0,35,39,58.39474913,55.9770673,82.35294118,50,24,17,0.4
0,0,94,94,55,72,30,72,369,0,30,30,30,30,600,55.57740558,59.48449035,55.66508473,59.83263569,60.05349259,64.52290706,3.624041577,49.49550521,0,12.0015098,39,39,59.13138044,55.50733886,70,57.14285714,21,20,0.4
0,0,94,94,55,72,30,72,369,0,30,30,30,30,600,55.25758002,59.69742,56.03074314,59.31007666,58.34179879,65.55081814,2.417681829,46.21059474,0,0,35,39,58.39474913,55.9770673,82.35294118,50,24,17,0.4
1,1,94,94,60,72,30,72,369,0,30,30,30,30,600,55.25758002,59.69742,56.03074314,59.31007666,58.34179879,65.55081814,2.417681829,46.21059474,0,0,35,39,58.39474913,55.9770673,82.35294118,50,24,17,0.4
1,1,94,94,60,72,30,72,369,0,30,30,30,30,600,55.25758002,52.87936712,56.03074314,52.64102283,58.34179879,55.32760832,3.250637487,42.85456345,0,0,35,36,55.9770673,52.72642981,55,50,24,20,0.4
1,1,94,94,60,72,30,72,369,0,30,30,30,30,600,55.25758002,59.48449035,56.03074314,59.83263569,58.34179879,64.52290706,3.154313141,43.21537072,0,0,35,39,59.13138044,55.9770673,70,50,24,20,0.4
0,0,94,94,60,72,30,72,369,0,30,30,30,30,600,55.57740558,59.48449035,55.66508473,59.83263569,60.05349259,64.52290706,3.624041577,49.49550521,0,12.0015098,39,39,59.13138044,55.50733886,70,57.14285714,21,20,0.4
